|DESKTOP-03MPUML|DESKTOP-03MPUML\ronen|2019/01/20 11:48:57.186|Trace|WebApiConfig|Register|Entering||WebApiConfig
|DESKTOP-03MPUML|DESKTOP-03MPUML\ronen|2019/01/20 11:48:57.208|Trace|WebApiConfig|Register|Leaving||WebApiConfig
|DESKTOP-03MPUML|DESKTOP-03MPUML\ronen|2019/01/20 11:48:57.371|Trace|WebApiApplication|Application_Start|Leaving||WebApiApplication
b13e377d-bd56-4824-850b-930d344f6b65|DESKTOP-03MPUML|::1|2019/01/20 12:04:45.609|Trace|AboutController|About|Entering with parameters: null||AboutController
b13e377d-bd56-4824-850b-930d344f6b65|DESKTOP-03MPUML|::1|2019/01/20 12:04:45.609|Trace|AboutController|About|Leaving||AboutController
|DESKTOP-03MPUML|DESKTOP-03MPUML\ronen|2019/01/20 12:49:40.594|Trace|WebApiApplication|Application_Start|Entering||WebApiApplication
|DESKTOP-03MPUML|DESKTOP-03MPUML\ronen|2019/01/20 12:49:40.616|Trace|WebApiConfig|Register|Entering||WebApiConfig
|DESKTOP-03MPUML|DESKTOP-03MPUML\ronen|2019/01/20 12:49:40.642|Trace|WebApiConfig|Register|Leaving||WebApiConfig
|DESKTOP-03MPUML|DESKTOP-03MPUML\ronen|2019/01/20 12:49:40.824|Error|WebApiApplication|Application_Start|   at System.Web.Http.Routing.RouteParser.Parse(String routeTemplate)    at System.Web.Http.Routing.DirectRouteFactoryContext.CreateBuilder(String template, IInlineConstraintResolver constraintResolver)    at System.Web.Http.Routing.DirectRouteFactoryContext.CreateBuilderInternal(String template)    at System.Web.Http.RouteAttribute.System.Web.Http.Routing.IDirectRouteFactory.CreateRoute(DirectRouteFactoryContext context)    at System.Web.Http.Routing.DefaultDirectRouteProvider.CreateRouteEntry(String prefix, IDirectRouteFactory factory, IReadOnlyCollection`1 actions, IInlineConstraintResolver constraintResolver, Boolean targetIsAction)    at System.Web.Http.Routing.DefaultDirectRouteProvider.CreateRouteEntries(String prefix, IReadOnlyCollection`1 factories, IReadOnlyCollection`1 actions, IInlineConstraintResolver constraintResolver, Boolean targetIsAction)    at System.Web.Http.Routing.DefaultDirectRouteProvider.GetActionDirectRoutes(HttpActionDescriptor actionDescriptor, IReadOnlyList`1 factories, IInlineConstraintResolver constraintResolver)    at System.Web.Http.Routing.DefaultDirectRouteProvider.GetDirectRoutes(HttpControllerDescriptor controllerDescriptor, IReadOnlyList`1 actionDescriptors, IInlineConstraintResolver constraintResolver)    at System.Web.Http.Routing.AttributeRoutingMapper.AddRouteEntries(SubRouteCollection collector, HttpConfiguration configuration, IInlineConstraintResolver constraintResolver, IDirectRouteProvider directRouteProvider)    at System.Web.Http.Routing.AttributeRoutingMapper.<>c__DisplayClass1_1.<MapAttributeRoutes>b__1()    at System.Web.Http.Routing.RouteCollectionRoute.EnsureInitialized(Func`1 initializer)    at System.Web.Http.Routing.AttributeRoutingMapper.<>c__DisplayClass1_0.<MapAttributeRoutes>b__0(HttpConfiguration config)    at System.Web.Http.HttpConfiguration.EnsureInitialized()    at System.Web.Http.GlobalConfiguration.Configure(Action`1 configurationCallback)    at BlueSpursTest.WebAPI.WebApiApplication.Application_Start() in C:\Users\ronen\source\repos\BlueSpursTest\BlueSpursTest.WebAPI\Global.asax.cs:line 16|System.ArgumentException The route template cannot start with a '/' or '~' character and it cannot contain a '?' character. Parameter name: routeTemplate|WebApiApplication
|DESKTOP-03MPUML|DESKTOP-03MPUML\ronen|2019/01/20 12:49:40.824|Trace|WebApiApplication|Application_Start|Leaving||WebApiApplication
|DESKTOP-03MPUML|DESKTOP-03MPUML\ronen|2019/01/20 12:56:02.415|Trace|WebApiApplication|Application_Start|Entering||WebApiApplication
|DESKTOP-03MPUML|DESKTOP-03MPUML\ronen|2019/01/20 12:56:02.437|Trace|WebApiConfig|Register|Entering||WebApiConfig
|DESKTOP-03MPUML|DESKTOP-03MPUML\ronen|2019/01/20 12:56:02.465|Trace|WebApiConfig|Register|Leaving||WebApiConfig
